local_base	6d37ad1c112a3dd9b178be5966cb3b25fc786bb9	upstream_base	a5a61806e434ef22141b622db989087fbba8ed21	upstream_head	1d507dad90812cd0873b151aac60ad7bff5127b6
commit	kind	subject	historical_disposition	historical_notes	historical_validation	review_status	current_evidence	gaps
3db8f36be7734e28a0306ec638db5a08227d8d25	merge	client: Fix vanilla tuning comparison (#12608)	covered-by-20713ba9	Merge wrapper; current vanilla tuning comparison is already covered locally.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（20713ba92）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
6f47c5b00a0c90fd702104e52038fa036955e713	merge	Fix UB when typing slash in editor save filename input (#12616)	covered-by-5bb8c21e6	Merge wrapper; `5bb8c21e6` explicitly cherry-picks the underlying UB correction.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（50b4dfa02）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
d2b7841394a4094cffecd1832e5e87e11b8d3c8d	commit	macOS: Improve DDNet-Server	adapted-local	Copy `data/autoexec_server.cfg` into Server.app resources; use white monospaced output on black server console background.	game-server-launcher, game-client, 2891 C++ tests, Rust tests, quick gate pass	verified-code-equivalent	src/macos/server.mm:30-31 设置白字与等宽字体、104 行黑色背景；CMakeLists.txt:4923 在 DMG 里复制 autoexec_server.cfg。	未在 macOS 上构建 DMG。
7cf4372dad3d499a00c015ebd78644ca388a2192	commit	Fix double free of Windows command line in `map_replace_area` tool	covered-equivalent	Current HEAD contains upstream-equivalent `d1290f517`; command-line storage remains valid until process exit.	Source history and current-source audit	verified-code-equivalent	tools/map_replace_area.cpp 已无 cmdline_free 调用，CCmdlineFix 负责释放。	未在 Windows 上运行该工具。
19e7d08a96cecbd4a36e8f269ef6c78fbee53204	commit	Fix Easter season detection not including Holy Saturday	covered-equivalent	Current HEAD contains upstream-equivalent `873a6394e`; each day offset is based on the original timestamp.	Source history and current-source audit	verified-code-equivalent	time.cpp:97-98 用局部 offset_time_data 调用 time_localtime_threadlocal，不再改写入参。	复活节日期判定未做跨年实测。
1f5095abe6e9ee1108be86662a81b2d8f975ea39	commit	Fix assertion printing address instead of time value	covered-equivalent	5e022ee92 applies the dereferenced time value and adds a DST correction.	Source reviewed; no duplicate cherry-pick.	verified-code-equivalent	time.cpp:63 的断言打印 (int64_t)*time_data。	无额外运行时缺口。
1a9d8e7157904751117c62b16d8cc0cb8e35fa25	merge	Fix Easter season detection not including Holy Saturday (#12620)	covered-by-873a6394e	Merge wrapper; the underlying Easter correction is reachable from HEAD.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（19e7d08a9）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
3ffc300b4729a7eadb9b44952be967b191be1397	merge	Fix assertion printing address instead of time value (#12621)	covered-by-5e022ee92	Merge wrapper; local `5e022ee92` covers the dereferenced time value and DST correction.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（1f5095abe）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
3977cdf82ec1dece8bde1a2fd83f31a8df874b9c	merge	Fix double free of Windows command line in `map_replace_area` tool (#12619)	covered-by-d1290f517	Merge wrapper; the underlying lifetime correction is reachable from HEAD.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（7cf4372da）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
6f764e4f1137ed30b184ff8988824ef33d4b5dc5	commit	Fix OpenGL shader location not bound for textured tile program	covered-equivalent	Current backend binds attributes on m_pTileProgramTextured, fixing the same target-object mismatch.	Source audit	verified-code-equivalent	backend_opengl.cpp:1971-1974，两个 glBindAttribLocation 均使用 m_pTileProgramTextured，再 LinkProgram；与官方实际修复一致。	仅确认当前源码覆盖该官方diff；未执行OpenGL驱动运行时验收
98f0064af0b2f03b95c3b3c4fcbcfeebe7156ef2	commit	Fix OpenGL shader programs leaked on shutdown, cleanup context too	covered-equivalent	Shutdown cleanup is already present in the local OpenGL backend; source audit found no missing path.	Static source audit; no duplicate cherry-pick.	verified-code-equivalent	backend_opengl.cpp:2063 起，六个 shader DeleteProgram/对象释放、纹理 DestroyTexture、buffer glDeleteBuffers/free 均存在；删除 shader 受 m_HasShaders 保护，六指针 Init 置空。	仅确认当前源码覆盖该官方diff；未执行OpenGL驱动运行时验收
c9a9931f8aee0032df190f51f33bd35c8ddedaff	commit	Fix OOB read/write on unexpected shader log message	covered-equivalent	4c0d1c491 adds Log.size() guards in both shader log paths.	Source reviewed; no duplicate cherry-pick.	verified-code-equivalent	opengl_sl.cpp:140 与 opengl_sl_program.cpp:74 均在 Log.size()>=2 后访问 size-2；外层 LogLength>0 保护 front()。	仅确认当前源码覆盖该官方diff；未执行OpenGL驱动运行时验收
33fbdc853c56db45ad6f7e3c0c154b9000e1e6b9	commit	Fix OOB reads/writes in GLSL shader compiler	covered-equivalent	4c0d1c491 bounds tokens and replaces unsafe lookahead parsing.	Source reviewed; no duplicate cherry-pick.	verified-code-equivalent	glsl_shader_compiler.cpp:54/167 两处 token 循环均限制 sizeof(aTmpStr)-1；layout/in/out 查找使用 str_startswith，无旧版 pBuff+2 越界前瞻。	仅确认当前源码覆盖该官方diff；未执行OpenGL驱动运行时验收
7c366145d1721c5b82c12d8fffc55233a76c02c2	commit	Fix incorrect texture resampling with Vulkan and OpenGL 3.3	covered-equivalent	Current OpenGL3/Vulkan paths already pass original dimensions to ResizeImage.	Static source audit; no duplicate cherry-pick.	verified-code-equivalent	backend_opengl3.cpp:677-688、718-727 与 backend_vulkan.cpp:3173、3232、3286 的 ResizeImage 都用缩放前的 OldWidth/OldHeight 作为源尺寸。	未做纹理缩放的视觉验证。
f8cd61af8476fe70513a051ef06d18fb76c82c1b	commit	Fail Vulkan `CreateDescriptorPools` if any pool allocation failed	covered-equivalent	Current CreateDescriptorPools fails on the first allocation failure.	Static source audit; no duplicate cherry-pick.	verified-code-equivalent	backend_vulkan.cpp:6983-6992 的 CreateDescriptorPools 对每个池单独检查失败并提前返回 false，比官方的 Success &= 更严格。	未做描述符池耗尽场景的运行时验证。
65d5275d0982f165a6a98b9a61890e71376b0d6c	commit	Remove duplicate `SetTextureReplaceType` calls	covered-equivalent	Current shader initialization avoids duplicate texture replacement calls.	Source audit	verified-code-equivalent	backend_opengl.cpp 中 SetTextureReplaceType 只剩最初的两处调用，重复块已移除。	未做 OpenGL2 初始化实测。
c63b1b9440324d69df9330e9e4bd2e08ba4ae134	commit	Use `std::size` instead of hard-coding size	covered-equivalent	Current DetachAllShaders uses std::size(aShaders) for GL array capacity.	Source audit	verified-code-equivalent	opengl_sl_program.cpp:96、106 使用 std::size(aShaders) 代替硬编码 100。	未做 OpenGL 着色器卸载的运行时验证。
abfe01656cbd3d6af1c871196df86dbe764a2ceb	commit	"client: Fix ""Show own name plate"""	covered-equivalent	Current `CNamePlates::OnRender` derives `RenderNames` from `ClNamePlates || ClNamePlatesOwn`; local nameplate rendering has broader Qm-specific gates.	Source audit	verified-code-equivalent	本地名板已重写：nameplates.cpp:2693 的 RenderNames = g_Config.m_ClNamePlates || g_Config.m_ClNamePlatesOwn，1766 行本地玩家用 m_ClNamePlatesOwn 决定是否显示，等价覆盖官方“关闭总开关仍显示自己的名板”修复。	未做名板开关组合的视觉实测。
821d5ae4b4711bf8158276dc07c27c140f48cac1	commit	console: Fix validating quoted victim arguments	adapted-local	Unified quoted/unquoted victim validation; empty quoted victims now return PARSEARGS_MISSING_VALUE without calling SetVictim. QmClient retains its single-victim API instead of upstream's later multi-victim refactor.	game-client; C++ 2924/2924; quick gate blocked by unrelated src/test/net_test.cpp:45 format drift	adapted-worktree	console.cpp:282-290 校验 'v' 参数非空并设置 victim，'i' 分支保持整数校验；SetVictim 对 VICTIM_ME/VICTIM_ALL 有单独处理。	未做 rcon 引用参数的实机验证。
40d807be0333eabee9b482d311b327e4ee5bec7e	commit	"server: Don't crash on ""add_map_votes <dir>"" without slash"	covered-equivalent	Local fa55be948 handles fs_parent_dir failure by resetting the directory to root instead of asserting; current code matches the upstream safety intent.	Source audit	verified-code-equivalent	gamecontext.cpp:3741-3743 在 fs_parent_dir 失败时把 aDirectory 置空，不再断言。	未做控制台命令实测。
8fb321d0a1daf64c51251765b88cb3aed10cb2a8	commit	network: fix handling of extended types in snapshots	not-applicable	QmClient uses the Rust CSnapshotBuilder; the upstream C++ NewItemRaw implementation is not present. Rust type_id_from_i32 resolves UUID types before size checks.	Source audit; no C++ cherry-pick.	not-applicable	该提交修改的是 C++ CSnapshotBuilder::NewItemRaw，本地该函数不存在（快照构建在 Rust src/engine/shared/snapshot/builder.rs）。	Rust 快照构建器是否需要在容量检查前解析扩展类型，需单独核对 Rust 实现。
eb81209f4c2d12d0ba1e2af0eb676b2a8f2c1be5	commit	physics: check dragger range earlier	covered-equivalent	Local e4aa468a1 orders the cheap range/alive checks before collision tracing in prediction and server beam ticks; collision/physics result is unchanged.	Source audit	verified-code-equivalent	prediction/entities/dragger.cpp:116-119 先判断距离再判断遮挡，服务端 dragger_beam.cpp 同序。	仅顺序调整，未做物理回归对比。
25dc1ab1490541902c31e462d9c14bba35862e4d	commit	Speed up integration test by disabling --track-origins in valgrind	adapted-local	Removed --track-origins=yes; memcheck detection remains, origin stacks are intentionally not collected.	Python compile; Linux Valgrind integration pending	verified-code-equivalent	scripts/integration_test.py:222-229 的 valgrind 参数已不含 --track-origins。	未运行集成测试。
a65e9772936fa7df9c09cbc6f0e5eb394ee0fa5c	commit	cmake: Forbid in-source builds	adapted-local	Current worktree uses the same source/build-directory guard with QmClient-specific remediation text.	Existing CMake configure and previous build evidence; no duplicate cherry-pick	verified-code-equivalent	CMakeLists.txt:3-9 已禁止 in-source 构建并给出配置示例。	未在 Windows 上实际触发该错误路径。
82fabe040c728674b083c5da7d85069d06f518fb	commit	server: Fix memory leak in `hot_reload`	covered-equivalent	Local 9e32d4886 deletes the previous saved tee before replacing it; current source contains the same ownership fix.	Source audit	verified-code-equivalent	gamecontext.cpp:3438 在 ConHotReload 里先 delete m_apSavedTees[i] 再 new。	未做重复 hot_reload 的内存泄漏检测。
b3f3b85be68908a674f9fee4bf371f948bdc5dc7	merge	"client: Fix ""Show own name plate"" (#12622)"	covered-by-abfe01656	Merge wrapper; current QmClient nameplate gate covers own-nameplate-only rendering.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（abfe01656）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
46b3c10b489618965ae7b5c35e0dbfb6ac7560e0	merge	server: Fix memory leak in `hot_reload` (#12632)	covered-by-82fabe040	Merge wrapper covered by local hot_reload ownership fix.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（82fabe040）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
2a5a3fe6ac18a69a66dced418378faceb9a983e7	merge	"server: Don't crash on ""add_map_votes <dir>"" without slash (#12626)"	covered-by-40d807be0	Merge wrapper covered by local add_map_votes safety fix.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（40d807be0）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
ed2b08f5d944bf84c1309989187fa886cc8a70db	commit	server: Reset snapshots on timeout	covered-equivalent	Already present in QmClient commit 54ec87f53.	Source audit	adapted-worktree	server.cpp:5086-5089 的 SetTimedOut 在切换协议版本后 PurgeAll 快照并重置 m_LastAckedSnapshot。	未做 0.6/0.7 混合超时接管实测。
969e04167fc1986ea96d877a151ce19ac4c1530e	merge	cmake: Forbid in-source builds (#12630)	covered-by-a65e97729	Merge wrapper; local in-source guard is recorded at the underlying candidate.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（a65e97729）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
00e909d29109c9d23edc478b18f336848c59ba35	merge	server: check dragger range earlier (#12629)	covered-by-eb81209f4	Merge wrapper covered by local dragger range ordering.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（eb81209f4）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
70021782db27b29f9267f27ee1ff3585b6ecca9b	merge	Various graphics and shader compiler fixes (#12634)	covered-by-upstream-equivalents	Merge wrapper; shader/compiler fixes are already covered by local equivalents.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（c63b1b944,65d5275d0,f8cd61af8,7c366145d,33fbdc853,c9a9931f8,98f0064af,6f764e4f1）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
d62e5de553b4364da38bc075a78d0b33a10e214f	commit	Fix `CLaser`/`CPlasma` `m_Layer`/`m_Number` being uninitialized	covered-equivalent	Already present in QmClient history.	Source audit	adapted-worktree	prediction/entities/laser.cpp:191-192 用 m_SwitchNumber 初始化 m_Number 并据此设置 m_Layer；server/entities/laser.cpp:19-20 与 plasma.cpp:21-22 都显式初始化 m_Number/m_Layer。	未做快照字段对比测试。
63c260989c180571f4957163330d6df1b2a83202	merge	network: fix handling of extended types in snapshots (#12628)	not-applicable	QmClient uses the Rust snapshot builder; upstream C++ implementation is not present.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（8fb321d0a）；继承底层结论：not-applicable。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
27ac6310ef143a28ffbcc928b154213fd116b296	commit	net: Fix timeout protection resending other clients' data	covered-equivalent	Already present in QmClient commit 54ec87f53.	Source audit	verified-code-equivalent	network_conn.cpp:738-740 在 mem_copy 之后有 pResend->m_pData = (unsigned char *)(pResend + 1)。	未做超时保护重连的丢包实测。
6dc7aae6364c7ae908a3011f29c6c9c3f9a886b1	merge	Fix `CLaser`/`CPlasma` `m_Layer`/`m_Number` being uninitialized (#12636)	covered-by-d62e5de55	Merge wrapper; initialization is already present in QmClient history.	Source audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（d62e5de55）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
13ec5da02319575fce4cadab86b28f52dd401886	commit	editor: fix font typer newline column desyncing at layer borders	adapted-local	Current CFontTyper tracks m_LineStart and clamps right-boundary cursor.	Source audit; local combined adaptation in 152d2029e	adapted-worktree	font_typer.h:27 与 font_typer.cpp:21 使用 m_LineStart 取代行长度计数；PlaceTile 在 55-70 行处理换行与行首左侧输入。	未做编辑器字体输入交互实测。
31a832e0124c65b9fddc96b5d6d2c030c9dbb18d	commit	ci: raise the smoke_test `the end` timeout to match its neighbours	deferred-policy	CI policy changes are deferred until the local runtime and release workflow is stabilized.	CI batch pending	verified-code-equivalent	scripts/integration_test.py:1067 的 wait_for_log_exact(..., timeout=15) 与官方一致。	未运行集成测试。
0e2f227eeeb3962d9a0ea1fb5b5a93788071fd4b	commit	editor: move the font typer line start left when typing before it	covered-equivalent	Current `CFontTyper::PlaceTile` updates `m_LineStart` before placing non-empty tiles; local editor sync history already contains the behavior.	Source audit	adapted-worktree	font_typer.cpp:67-70 在行首左侧输入时把 m_LineStart 左移。	未做编辑器字体输入交互实测。
ed6af41dc74221178f88999a75203e610c3e8c0d	merge	Fix ci smoke_test timeout again (#12640)	covered-by-31a832e	Merge wrapper; CI timeout remains deferred as policy.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（31a832e01）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
c226028a79d198cc42f8b08f171ecdf514bcb20a	merge	Bound the work unauthenticated packets can cost (#12609)	covered-by-75f1ccc4	Merge wrapper; local KCP/FakeNet adaptation is recorded on the underlying candidate.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（dd35e93d3,e32ca00b6,48b3aea80,212d08cfe,75f1ccc48）；继承底层结论：adapted-worktree,verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
7b583179e6e739f8411669a7e584277c8d98cb76	merge	Optimize four quadratic hot paths for 128 player servers (#12589)	covered-equivalent	All four underlying optimizations are present in the local 128-player baseline; this wrapper adds no separate behavior.	Source and history audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（09acd3bf6,adac08c6c,51b63860a,677e4f7f3）；继承底层结论：adapted-worktree,verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
6c0126f99f3c992011f91676f424def81812d7fb	commit	shared: Unpack packet chunks without rescanning the packet	adapted-local	Added m_CurrentOffset cursor while preserving QmClient vital-sequence accounting and malformed-header checks.	Full C++ tests 2913/2913; quick gate 11/11	adapted-worktree	network.h:519-521 新增 m_CurrentOffset；network.cpp:45 初始化、68-92 用游标定位下一个区块头并做 2/3 字节边界检查；network_test.cpp 的 UnpackChunks 与 UnpackChunksRejectsTruncatedHeadersAndPayloads 覆盖多区块与截断场景。	未做 255 区块的极限性能对比。
4318df0fc643c3b13d1ab150f7c266a95a1de73a	commit	shared: Rate limit answering resend requests	adapted-local	Added a coalesced resend-request flag and per-second response budget while preserving legacy/KCP connection handling.	Full C++ tests 2913/2913; quick gate 11/11	adapted-worktree	config_variables.h:682 有 conn_resend_requests_per_second；network.h:353-354 有 m_LastResendTime/m_ResendRequested；network_conn.cpp:303-312 的 AnswerResendRequest 按该配置限速，499-500 与 658 调用。	未做高丢包下的重传节奏实测。
8b5d3b7a87f42cbb7529c26a8bfd0ae961be3514	commit	server: Budget the replies sent to unverified addresses	adapted-local	Added per-second budgets for connless server-info replies and vanilla antispoof handshakes, preserving existing KCP/FakeNet receive budgets.	Full C++ tests 2913/2913; quick gate 11/11	adapted-worktree	config_variables.h:535、537 有 sv_server_info_replies_per_second 与 sv_van_conn_replies_per_second；server.h:437 的 RateLimitServerInfoConnless 返回 std::optional<bool>；server.cpp:2470-2480 用 time_get() 计数并按上限拒绝；network_server.cpp:478-480 用 m_NumVanConnReplies 限制手握手应答。	未做每秒大量 server info 请求的实测。
eb96fe0969b9502eae8db8b1932854f1110d32e1	commit	shared: Bound the chunk read from a pre-connection packet	adapted-local	Bound pre-connection chunk header/data lengths before unpacking vanilla antispoof input.	Full C++ tests 2913/2913; quick gate 11/11	verified-code-equivalent	network_server.cpp:574-583 已有官方防护：Packet.m_DataSize < 2 直接返回，计算 Remaining 并拒绝负值，Unpacker.Reset 用 std::min(Header.m_Size, Remaining)。	未做真实握手报文模糊测试。
c4ba80c69b1d4f6e52ce3647fb741ee2711a94f3	commit	server: Bound the work one client can ask for per connection	adapted-local	Added per-client map-chunk and pre-input budgets; preserves KCP/FakeNet and existing sv_preinput behavior.	Full C++ tests 2913/2913; quick gate 11/11	adapted-worktree	server.h:173-175 有 m_NumMapChunks/m_PreInputsTick/m_NumPreInputs；server.cpp:1538-1540 把地图分片请求限制为地图分片数的两倍；server.cpp:1800-1811 的 TakePreInputBudget 按 sv_max_preinputs_per_tick 限流，2225 处调用；配置 sv_max_preinputs_per_tick 存在。	未做地图下载与 preinput 洪泛实测。
9526f5f6df5a68f75fd3009f8e189dc48fd71f5f	commit	server: Send vote options from a cursor	adapted-local	Added per-player last-option cursor; remove/clear/start paths reset the pointer.	Full C++ tests 2913/2913; quick gate 11/11	adapted-worktree	player.h:111 有 m_pLastSentVoteOption；gamecontext.cpp:1631 从游标继续、1654 记录已发送项，GetVoteOption 已删除；player.cpp:87 与 gamecontext.cpp:3025、3554、3684 在列表变化处重置游标。	未做大量投票项的发送耗时对比。
345aee7411e67e3b2575a36f061d2b22a6aef483	merge	Fix editor font typer newline column desyncing at layer borders (#12639)	covered-by-13ec5da0	Merge wrapper; current cursor line-start adaptation covers the behavior.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（0e2f227ee,13ec5da02）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
31d9a81eca454a57ed71528b32caa26e3accac8f	merge	net: Fix timeout protection resending other clients' data (#12638)	covered-equivalent	Current ResumeConnection rewrites the copied resend buffer data pointer; local timeout adaptation preserves this ownership fix.	Source and history audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（27ac6310e）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
a0b60b2e38de52591436c9b170d6c8ce6f8663fc	merge	server: Reset snapshots on timeout (#12623)	covered-equivalent	Current SetTimedOut purges snapshots and clears the acknowledged base before protocol state takeover.	Source and history audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（ed2b08f5d）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
8be49024bea7864ce107a87b13eb77ea3fb1665e	commit	Release ground hooks that lost their tile when loading a tee	covered-equivalent	Current save load retracts ground hooks when the saved hook position no longer lands on a solid tile; local 488e46ead retains the behavior.	Source and history audit	verified-code-equivalent	save.cpp:245-251 在加载存档后检查地面钩子是否仍位于 TILE_SOLID，否则收起钩子。	未做存档加载的边界地图实测。
7420bfed19298828882f20fde84b1e31099aaaea	merge	Release ground hooks that lost their tile when loading a tee (#12644)	covered-by-8be49024b	Merge wrapper; current source already includes the underlying hook release.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（8be49024b）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
d98e1e4ea3294b3bd10adb3b77cd9dfeebb73b02	commit	Increase server info size to handle 128 players with 0.7 skins	covered-equivalent	Current extended/sixup server-info packing and repacking already use the enlarged connless payload path.	Source audit	verified-code-equivalent	register.cpp:142 的 m_aServerInfo 已是 100 * 1024。	未做 128 人 0.7 皮肤服务器注册实测。
7fa25fc164e6189a57ec54d51e577d0ff869b3e2	commit	fix font typer not allowing to delete from last column with backspace	adapted-local	Current PlaceTile/backspace path permits the right-boundary cursor and prevents out-of-layer writes.	Source audit	adapted-worktree	font_typer.cpp:55-70 处理光标位于右边界列时的换行与空输入，162、250 行的 x 夹紧上限改为 m_Width。	未做编辑器字体输入交互实测。
b951b644950881cdda41d28cbe83289664910787	merge	Increase server info size to handle 128 players with 0.7 skins (#12645)	covered-by-d98e1e4ea	Merge wrapper; equivalent server-info capacity path is already present.	Source audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（d98e1e4ea）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
d7292e491c5ffeac399bc492e1e447a385e99d91	merge	Fix: font typer does not allow to delete from last column with backspace (#12646)	covered-by-7fa25fc1	Merge wrapper; right-boundary backspace behavior is already adapted locally.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（7fa25fc16）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
e8c2df1d58533c285e0347fe414a216503fa7e30	commit	add loading bar to map loading	adapted-local	Implemented in the local renderer path: count only layers participating in the selected render type, report completed/total work from CMapRenderer::Load, and keep the legacy RenderLoading wrapper for other callers.	game-client build; 2919/2919 C++ tests; map-load runtime smoke pending	adapted-worktree	maplayers.cpp:41-52 用 FCallbackMapRendererInit 回传进度并调用 RenderLoadingDirect，menus.h:2130 的 RenderLoadingDirect 带 std::optional<float> Progress，比官方的回调结构更细。	未做地图加载进度条的视觉验证。
624f58e47781c4fee830a1a2b8892936b31f1e40	commit	Fix assertion crash when using virtual back button	covered-equivalent	Local 215c57812 resets the back-button operation on both Clicked and Abrupted paths while dispatching Escape only for a completed click.	Source audit	verified-code-equivalent	ui.cpp:2600-2602 的返回按钮逻辑已改为 Clicked || Abrupted 并在内部再判断 Result && Clicked。	未做虚拟返回按钮的交互实测。
fa37e6de2f5b348ab802d52eb34c38c34fbc2b02	commit	Avoid undefined behavior when rendering time	covered-equivalent	Local fa37e6de2 is present in history and bd1a55607 carries the same int64_t-before-absolute changes; current QmClient UI extensions retain the UB fix.	Source audit	verified-code-equivalent	hud.cpp:1636、1642、1648 已改为先转 int64_t 再取绝对值，不再对 finish time 取绝对值。	未做负分显示的界面实测。
bc7b3225ac1be87e54d4e664e06a79dd09413978	commit	Fix UI clipping not considering position of intersection	adapted-local	Current CUi::ClipEnable computes width/height from Intersection origin.	Source audit	verified-code-equivalent	本地把相交计算收敛到 ui_rect.cpp:36-44 的 CUIRect::Intersection，宽高都相对 Result.x/y 计算并夹紧到非负；ui.cpp:811 直接使用该方法。	未做嵌套裁剪的视觉实测。
6a624acc45ade2986ad7d4f707702894317d917d	merge	Feature: Add loading bar to map loading (#12415)	covered-by-e8c2df1d	Merge wrapper; implementation requires the local threaded renderer adaptation.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（e8c2df1d5）；继承底层结论：adapted-worktree。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
4ce18d3ac3c73450c4dba537dcfde7ed99957631	merge	Fix various minor UI issues (#12650)	covered-equivalent	Current HUD/UI code already contains the corresponding clipping, integer-time and virtual back-button fixes.	Source audit	verified-wrapper	已验证父链与相对第一父提交的非合并提交（bc7b3225a,fa37e6de2,624f58e47）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
2744c61dfa9262662313f488b397365b9cf482d6	merge	macOS: Improve DDNet-Server (#12618)	covered-by-d2b784139	Merge wrapper; Server.app resource and console adaptations are already implemented locally.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（d2b784139）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
bc2c2f930130945667dc3691634e125abd1b8d65	commit	map_convert_07: Fix use-after-free	merged-local	CImageInfo moved into the global replacement array; avoids retaining a pointer owned by a local.	cmake --build cmake-build-release --target map_convert_07 -j 14: pass; external-image end-to-end fixture and ASAN run pending	verified-code-equivalent	tools/map_convert_07.cpp:24 用 CImageInfo g_aNewImageInfos 保存新图数据，99 行 std::move，220 行按索引读取，不再持有已释放指针。	未在真实地图上运行该工具。
a9c6d2efdf6ca2da9cef17a1768fb1f4f6b4013c	commit	network: Send min and max team size in game info	adapted-local	Local commit c181dfbd1 adds the generated min/max team fields and preserves old-object fallbacks; mixed-client runtime validation remains pending.	generate_protocol; game-client; 2916 C++ tests; quick gate blocked by unrelated src/test/net_test.cpp format drift	verified-code-equivalent	datasrc/network.py:432-433 的 GameInfoEx 已包含 m_MinTeamSize/m_MaxTeamSize。	未做小队伍上限服务器的记分板实测。
6d5183fc39ef4c20abc354947b68a5dde842ab79	merge	map_convert_07: Fix use-after-free (#12654)	covered-by-bc2c2f930	Merge wrapper; the local CImageInfo ownership fix is already implemented.	No separate cherry-pick	verified-wrapper	已验证父链与相对第一父提交的非合并提交（bc2c2f930）；继承底层结论：verified-code-equivalent。	合并包装不引入额外改动；底层条目的验证缺口见对应条目。
96d35b3f9488ae2c59e0c1dd5c90977b036f2ce0	commit	client: Fix using a new libpng version than built against	not-applicable-reverted	Reverted by 76444d664; its replacement is a23094c69.	Replaced by a23094c69 in this batch	not-applicable-reverted	该提交已被 76444d664 撤回；本地 image_loader.cpp:178、388 使用 PNG_LIBPNG_VER_STRING，与撤回后的官方一致。	无。
